"Order Number","Order Status","Order Date","City (Shipping)","Order Total Amount"
15383,Completed,"2025-11-04 06:24",Johannesburg,597.00
15381,Completed,"2025-11-03 20:59",Kathu,388.00
15377,Completed,"2025-11-03 13:46","Kuruman Mibistand",480.00
15376,Completed,"2025-11-03 13:41",Kimberley,510.00
15375,Completed,"2025-11-03 09:50",Engcobo,220.00
15374,Completed,"2025-11-03 09:32","Emalahleni witbank",588.00
15372,Completed,"2025-11-03 08:57",Germiston,260.00
15371,Completed,"2025-11-03 07:16","Kempton Park",348.00
15369,Completed,"2025-11-03 04:13",Pretoria,260.00
15368,Completed,"2025-11-02 23:02",Turffontain,637.00
15367,Completed,"2025-11-02 22:28",CapeTown,420.00
15366,Completed,"2025-11-02 14:51",Pretoria,508.00
15363,Completed,"2025-11-02 06:24",Kimberley,637.00
15360,Completed,"2025-11-01 22:19",Giyani,380.00
15358,Processing,"2025-11-01 12:27","East London",508.00
15357,Completed,"2025-11-01 12:11","East London",348.00
15356,Completed,"2025-11-01 12:04",Pongola,260.00
15355,Completed,"2025-11-01 11:56",Pongola,260.00
15354,Completed,"2025-11-01 09:15","Sunnyside, Pretoria",388.00
15352,Completed,"2025-11-01 07:24","Cape Town",220.00
